"","case_month","res_state","age_group","sex","race","ethnicity","n"
"60269","2021-04","AK","0 - 17 years","Female","American Indian/Alaska Native","Non-Hispanic/Latino",61
"60270","2021-04","AK","0 - 17 years","Female","American Indian/Alaska Native",NA,30
"60271","2021-04","AK","0 - 17 years","Female","Multiple/Other","Unknown",16
"60272","2021-04","AK","0 - 17 years","Female","Multiple/Other",NA,17
"60273","2021-04","AK","0 - 17 years","Female","Unknown","Unknown",180
"60274","2021-04","AK","0 - 17 years","Female","White","Non-Hispanic/Latino",44
"60275","2021-04","AK","0 - 17 years","Female","White","Unknown",38
"60276","2021-04","AK","0 - 17 years","Female",NA,NA,72
"60277","2021-04","AK","0 - 17 years","Male","American Indian/Alaska Native","Non-Hispanic/Latino",66
"60278","2021-04","AK","0 - 17 years","Male","American Indian/Alaska Native",NA,12
"60279","2021-04","AK","0 - 17 years","Male","Multiple/Other",NA,13
"60280","2021-04","AK","0 - 17 years","Male","Unknown","Unknown",190
"60281","2021-04","AK","0 - 17 years","Male","White","Non-Hispanic/Latino",45
"60282","2021-04","AK","0 - 17 years","Male","White","Unknown",23
"60283","2021-04","AK","0 - 17 years","Male",NA,NA,116
"60284","2021-04","AK","0 - 17 years",NA,NA,NA,22
"60285","2021-04","AK","18 to 49 years","Female","American Indian/Alaska Native","Non-Hispanic/Latino",80
"60286","2021-04","AK","18 to 49 years","Female","American Indian/Alaska Native","Unknown",33
"60287","2021-04","AK","18 to 49 years","Female","Asian",NA,13
"60288","2021-04","AK","18 to 49 years","Female","Black",NA,26
"60289","2021-04","AK","18 to 49 years","Female","Multiple/Other","Non-Hispanic/Latino",38
"60290","2021-04","AK","18 to 49 years","Female","Multiple/Other","Unknown",100
"60291","2021-04","AK","18 to 49 years","Female","Multiple/Other",NA,27
"60292","2021-04","AK","18 to 49 years","Female","Native Hawaiian/Other Pacific Islander",NA,11
"60293","2021-04","AK","18 to 49 years","Female","Unknown","Unknown",281
"60294","2021-04","AK","18 to 49 years","Female","White","Non-Hispanic/Latino",144
"60295","2021-04","AK","18 to 49 years","Female","White","Unknown",134
"60296","2021-04","AK","18 to 49 years","Female","White",NA,17
"60297","2021-04","AK","18 to 49 years","Female",NA,NA,102
"60298","2021-04","AK","18 to 49 years","Male","American Indian/Alaska Native","Non-Hispanic/Latino",56
"60299","2021-04","AK","18 to 49 years","Male","American Indian/Alaska Native","Unknown",13
"60300","2021-04","AK","18 to 49 years","Male","Asian",NA,11
"60301","2021-04","AK","18 to 49 years","Male","Black",NA,18
"60302","2021-04","AK","18 to 49 years","Male","Multiple/Other","Non-Hispanic/Latino",16
"60303","2021-04","AK","18 to 49 years","Male","Multiple/Other","Unknown",60
"60304","2021-04","AK","18 to 49 years","Male","Multiple/Other",NA,36
"60305","2021-04","AK","18 to 49 years","Male","Native Hawaiian/Other Pacific Islander",NA,15
"60306","2021-04","AK","18 to 49 years","Male","Unknown","Unknown",333
"60307","2021-04","AK","18 to 49 years","Male","White","Hispanic/Latino",15
"60308","2021-04","AK","18 to 49 years","Male","White","Non-Hispanic/Latino",165
"60309","2021-04","AK","18 to 49 years","Male","White","Unknown",207
"60310","2021-04","AK","18 to 49 years","Male",NA,NA,159
"60311","2021-04","AK","50 to 64 years","Female","Multiple/Other","Unknown",11
"60312","2021-04","AK","50 to 64 years","Female","Multiple/Other",NA,11
"60313","2021-04","AK","50 to 64 years","Female","Unknown","Unknown",64
"60314","2021-04","AK","50 to 64 years","Female","White","Non-Hispanic/Latino",35
"60315","2021-04","AK","50 to 64 years","Female","White","Unknown",23
"60316","2021-04","AK","50 to 64 years","Female","White",NA,16
"60317","2021-04","AK","50 to 64 years","Female",NA,NA,64
"60318","2021-04","AK","50 to 64 years","Male","Multiple/Other",NA,12
"60319","2021-04","AK","50 to 64 years","Male","Unknown","Unknown",58
"60320","2021-04","AK","50 to 64 years","Male","White","Non-Hispanic/Latino",55
"60321","2021-04","AK","50 to 64 years","Male","White","Unknown",32
"60322","2021-04","AK","50 to 64 years","Male","White",NA,11
"60323","2021-04","AK","50 to 64 years","Male",NA,NA,111
"60324","2021-04","AK","65+ years","Female","Unknown","Unknown",12
"60325","2021-04","AK","65+ years","Female","White","Non-Hispanic/Latino",14
"60326","2021-04","AK","65+ years","Female","White",NA,26
"60327","2021-04","AK","65+ years","Female",NA,NA,37
"60328","2021-04","AK","65+ years","Male","Unknown","Unknown",11
"60329","2021-04","AK","65+ years","Male","White","Non-Hispanic/Latino",15
"60330","2021-04","AK","65+ years","Male","White",NA,24
"60331","2021-04","AK","65+ years","Male",NA,NA,38
"60332","2021-04","AK","65+ years",NA,NA,NA,34
"60333","2021-04","AK",NA,NA,NA,NA,54
"60334","2021-04","AL","0 - 17 years","Female","Black","Non-Hispanic/Latino",123
"60335","2021-04","AL","0 - 17 years","Female","Unknown","Unknown",19
"60336","2021-04","AL","0 - 17 years","Female","White","Non-Hispanic/Latino",129
"60337","2021-04","AL","0 - 17 years","Female",NA,NA,208
"60338","2021-04","AL","0 - 17 years","Male","Black","Non-Hispanic/Latino",118
"60339","2021-04","AL","0 - 17 years","Male","Black",NA,11
"60340","2021-04","AL","0 - 17 years","Male","Unknown","Unknown",27
"60341","2021-04","AL","0 - 17 years","Male","White","Non-Hispanic/Latino",151
"60342","2021-04","AL","0 - 17 years","Male",NA,NA,193
"60343","2021-04","AL","0 - 17 years",NA,NA,NA,141
"60344","2021-04","AL","18 to 49 years","Female","Black","Non-Hispanic/Latino",544
"60345","2021-04","AL","18 to 49 years","Female","Black",NA,24
"60346","2021-04","AL","18 to 49 years","Female","Missing","Missing",15
"60347","2021-04","AL","18 to 49 years","Female","Multiple/Other",NA,16
"60348","2021-04","AL","18 to 49 years","Female","Unknown","Unknown",168
"60349","2021-04","AL","18 to 49 years","Female","White","Non-Hispanic/Latino",887
"60350","2021-04","AL","18 to 49 years","Female","White",NA,26
"60351","2021-04","AL","18 to 49 years","Female",NA,NA,450
"60352","2021-04","AL","18 to 49 years","Male","Black","Non-Hispanic/Latino",327
"60353","2021-04","AL","18 to 49 years","Male","Missing","Missing",11
"60354","2021-04","AL","18 to 49 years","Male","Multiple/Other",NA,13
"60355","2021-04","AL","18 to 49 years","Male","Unknown","Unknown",115
"60356","2021-04","AL","18 to 49 years","Male","Unknown",NA,11
"60357","2021-04","AL","18 to 49 years","Male","White","Non-Hispanic/Latino",775
"60358","2021-04","AL","18 to 49 years","Male","White",NA,12
"60359","2021-04","AL","18 to 49 years","Male",NA,NA,403
"60360","2021-04","AL","18 to 49 years","Missing","Missing","Missing",18
"60361","2021-04","AL","18 to 49 years","Missing","Unknown","Unknown",26
"60362","2021-04","AL","18 to 49 years","Missing",NA,NA,12
"60363","2021-04","AL","18 to 49 years",NA,NA,NA,331
"60364","2021-04","AL","50 to 64 years","Female","Black","Non-Hispanic/Latino",109
"60365","2021-04","AL","50 to 64 years","Female","Black",NA,11
"60366","2021-04","AL","50 to 64 years","Female","Unknown","Unknown",11
"60367","2021-04","AL","50 to 64 years","Female","White","Non-Hispanic/Latino",314
"60368","2021-04","AL","50 to 64 years","Female","White",NA,22
"60369","2021-04","AL","50 to 64 years","Female",NA,NA,202
