Date,Demographic Group,People with at least one dose,People who are fully vaccinated,Percent of group with at least one dose,Percent of group fully vaccinated,Census
2021-05-17,Sex_unknown,1634560,1096195,0,0,0
2021-05-16,Sex_unknown,1630540,1089910,0,0,0
2021-05-15,Sex_unknown,1624304,1081063,0,0,0
2021-05-14,Sex_unknown,1617563,1070441,0,0,0
2021-05-13,Sex_unknown,1612549,1061425,0,0,0
2021-05-12,Sex_unknown,1605061,1050319,0,0,0
2021-05-11,Sex_unknown,1600193,1042052,0,0,0
2021-05-10,Sex_unknown,1597816,1037562,0,0,0
2021-05-09,Sex_unknown,1594929,1030026,0,0,0
2021-05-08,Sex_unknown,1587722,1019778,0,0,0
2021-05-07,Sex_unknown,1580818,1006470,0,0,0
2021-05-06,Sex_unknown,1573497,993484,0,0,0
2021-05-05,Sex_unknown,1570603,983694,0,0,0
2021-05-04,Sex_unknown,1565265,974906,0,0,0
2021-05-03,Sex_unknown,1562373,970339,0,0,0
2021-05-02,Sex_unknown,1558371,964966,0,0,0
2021-05-01,Sex_unknown,1549228,953365,0,0,0
2021-04-30,Sex_unknown,1537543,937319,0,0,0
2021-04-29,Sex_unknown,1527638,923236,0,0,0
2021-04-28,Sex_unknown,1518055,910316,0,0,0
2021-04-27,Sex_unknown,1510375,901427,0,0,0
2021-04-26,Sex_unknown,1505941,897581,0,0,0
2021-04-25,Sex_unknown,1497530,890422,0,0,0
2021-04-24,Sex_unknown,1486995,879504,0,0,0
2021-04-23,Sex_unknown,1474304,866574,0,0,0
2021-04-22,Sex_unknown,1459531,852528,0,0,0
2021-04-21,Sex_unknown,1449176,841757,0,0,0
2021-04-20,Sex_unknown,1437486,832309,0,0,0
2021-04-19,Sex_unknown,1430533,827219,0,0,0
2021-04-18,Sex_unknown,1420850,819799,0,0,0
2021-04-17,Sex_unknown,1405666,805877,0,0,0
2021-04-16,Sex_unknown,1390334,791587,0,0,0
2021-04-15,Sex_unknown,1374374,778081,0,0,0
2021-04-14,Sex_unknown,1359459,766057,0,0,0
2021-04-13,Sex_unknown,1344065,752481,0,0,0
2021-04-12,Sex_unknown,1331155,741085,0,0,0
2021-04-11,Sex_unknown,1317663,729112,0,0,0
2021-04-10,Sex_unknown,1299907,713782,0,0,0
2021-04-09,Sex_unknown,1270304,693417,0,0,0
2021-04-08,Sex_unknown,1249313,678281,0,0,0
2021-04-07,Sex_unknown,1234349,666741,0,0,0
2021-04-06,Sex_unknown,1220175,655302,0,0,0
2021-04-05,Sex_unknown,1189562,631063,0,0,0
2021-04-04,Sex_unknown,1189333,630896,0,0,0
2021-04-03,Sex_unknown,1188462,629421,0,0,0
2021-04-02,Sex_unknown,1167124,616460,0,0,0
2021-04-01,Sex_unknown,1141131,602430,0,0,0
2021-03-31,Sex_unknown,1123524,593371,0,0,0
2021-03-30,Sex_unknown,1109431,583603,0,0,0
2021-03-29,Sex_unknown,1103156,578612,0,0,0
2021-03-28,Sex_unknown,1092642,571749,0,0,0
2021-03-27,Sex_unknown,1075374,560024,0,0,0
2021-03-26,Sex_unknown,1054471,549440,0,0,0
2021-03-25,Sex_unknown,1032094,539307,0,0,0
2021-03-24,Sex_unknown,1017718,532456,0,0,0
2021-03-23,Sex_unknown,1004048,526540,0,0,0
2021-03-22,Sex_unknown,988045,520971,0,0,0
2021-03-21,Sex_unknown,976563,516489,0,0,0
2021-03-20,Sex_unknown,959877,509077,0,0,0
2021-03-19,Sex_unknown,943490,502346,0,0,0
2021-03-18,Sex_unknown,930653,496659,0,0,0
2021-03-17,Sex_unknown,914731,488893,0,0,0
2021-03-16,Sex_unknown,903442,484777,0,0,0
2021-03-15,Sex_unknown,895856,481425,0,0,0
2021-03-14,Sex_unknown,885882,476436,0,0,0
